,Star_name.1,Distance.1,Mass.1,Radius.1
0,2MASS J08283419-1309198,0,0,0
1,LHS 102BC,0,0,0
2,2MASS J00034227-2822410,0,0,0
3,2MASS J02511327+0047364,0,0,0
4,TWA 27A,0,0,0
5,TWA 27B,0,0,0
6,2MASS J14112131-2119503,0,0,0
7,2MASS J02103857-3015313,101,15,1.53
8,2MASS J13204427+0409045,101,67,1.01
9,WISE 0038+8405,101.8,0,0
10,2MASS J06085283-2753583,102,38,1.51
11,WISE 1147-2040,102,0,0
12,CFBDSIR 1458+10A,104,11.1,1.5
13,CFBDSIR 1458+10B,104,9,1.3
14,2MASS J20004841-7523070,105,25,1.88
15,WISE 0316+4307,106.3,0,0
16,WISE 1830+4542,107,0,0
17,2MASSI J1017075+130839 [de],108,0,0
18,2MASSW J2101154+175658,108,0,0
19,WISE 1506+7027,11.1,0,0
20,2MASS J16262034+3925190 [de],110,71,1.03
21,SDSS J020742.48+000056.2 [de],111,47,0.97
22,WISEA 1101+5400,111,0,0
23,HB 2124-4228,113,94,1.21
24,2MASSI J1726000+153819,114,24,1.4
25,2MASSW J1239272+551537 [de],119,0,0
26,Teegarden's star,12.578,80,1.27
27,2M1510,120,79,0
28,2MASS J11544223-3400390 [de],129,37,1.5
29,DEN 1048-3956,13.15,77,1.07
30,UGPS J072227.51-054031.2,13.4,26,0.98
31,2MASS J01415823-4633574 [de],130,20,1.61
32,DENIS-P J035726.9-441730 [de],130,0,0
33,2MASS J00332386-1521309 [de],131,29,1.43
34,WISE 1841+7000,131.1,0,0
35,TWA 26,137,30,2.2
36,2MASSW J1841086+311727,138,67,1.01
37,2MASS J04362788-4114465,142,39,1.97
38,WISE 0106+1518,142.9,0,0
39,2MASS J00250365+4759191AB,143,0,0
40,2MASS J23225299-6151275,148,17,1.59
41,SDSS J141659.78+500626.4 [de],149,59,0.99
42,2MASS J02411151-0326587 [de],152,27,1.41
43,2MASSW J2208136+292121,154,27,1.41
44,2MASS J02340093-6442068,155,20,1.62
45,DENIS J081730.0-615520,16.1,44,0.94
46,DEN 0255-4700,16.2,80,0.97
47,WISE 1639-6847,16.3,0,0
48,2MASSI J0117474-340325 [de],163,20,1.62
49,Cha 110913-773444,163,8,1.8
50,2MASS 0939−2448,17.4,32,0.95
51,WISE 0350-5658,17.7,0,0
52,2MASS J11145133−2618235,18.2,33,0.96
53,LSR J1835+3259,18.5,77,1.07
54,2MASS J04151954−0935066,18.6,30,0.95
55,WISE 1741+2553,18.9,0,0
56,TWA 28,180,36,2.39
57,2MASS J02535980+3206373,184,65,1.9
58,WISE 0359-5401,19.2,0,0
59,2MASS J00040288-6410358,192,19,1.63
60,2MASS J03231002-4631237,192,23,1.66
61,WISE 0410+1502,20,6,1.17
62,WISE 1541-2250,20,0,0
63,WISE 1738+2732,20,0,0
64,2MASSI J0937347+293142,20,42,0.94
65,WISE 0146+4234,20.5,0,0
66,2MASS 1503+2525,20.7,44,0.94
67,LP 944-20,20.9,73,1.43
68,2MASS J12074836-3900043,217,17,1.71
69,WISE 1928+2356,22.8,0,0
70,WISE 0005+3737,23.2,0,0
71,WISE 0713-2917,23.2,0,0
72,2MASSI J0835425-081923 [de],23.53,62,1
73,2MASS 1507−1627,23.9,60,0.99
74,2MASS J00274197+0503417,236,31,1.44
75,WISE J0254+0223,24,65,1.9
76,WISE 0049+2151,24.1,0,0
77,WISE 2056+1459,24.5,0,0
78,WISE 1405+5534,25.3,30,0.86
79,WISE 0607+2429,25.4,0,0
80,2MASS J07290002-3954043 [de],25.8,37,0.94
81,2MASS J21481628+4003593,26.3,55,0.99
82,WISE 2220-3628,26.4,0,0
83,TWA 29,262,25,2
84,2MASS J03341218-4953322,27,73,1.04
85,2MASS J08533619-0329321,27.6,77,1.07
86,WISEPA J164715.59+563208.2,28,41,0.94
87,WISE 0313+7807,28,0,0
88,WISE 0647-6232,28,0,0
89,WISE 1647+5632,28,0,0
90,2MASS 0036+1821,28.6,42,0.94
91,WISE 1800+0134,28.7,57,0
92,2MASS J04390101-2353083 [de],29.5,48,0.97
93,2MASSI J0727182+171001 [de],29.6,41,0.94
94,ULAS J141623.94+134836.3,29.7,32,0.96
95,2MASS J03552337+1133437,29.8,20,1.32
96,CFBDS J005910.90–011401.3,30,23,0
